job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,Employee_status,gender,age,marital_status_maried(Y/N),number_of_dependences,number_of_dependences (male),number_of_dependences (female),Education_level,GPA,year_graduated,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Best Performance,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3
JG04,1.5,PG03,1.5,1.5,RM_type_B,Permanent,Female,1988,Y,1,1,0,level_4,3.14,2010,5.0,5,5,4,0,2,0,1,74.82000000000001,72.36,0.0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,2.0,PG03,2.0,1.5,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_4,0.0,2011,5.0,5,4,4,0,8,1,0,70.49333333333334,72.33,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,,,,4.0,4,2,4,0,3,0,1,98.57000000000001,94.5,3.0,achiev_50%-100%,achiev_> 1.5,not_reached
JG04,1.67,PG03,1.67,0.5,RM_type_B,Permanent,Male,1990,N,0,0,0,level_4,3.01,2013,4.0,4,2,3,2,8,0,0,119.91666666666667,117.14,3.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.75,PG03,1.75,1.42,RM_type_C,Permanent,Male,1986,Y,1,0,1,,,,4.0,4,2,4,0,2,0,1,78.72000000000001,75.49,1.0,achiev_> 1.5,achiev_50%-100%,not_reached
JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Female,1989,Y,1,0,1,level_4,2.89,2011,3.0,3,2,2,0,2,2,0,55.06999999999999,57.69,0.0,achiev_< 50%,achiev_< 50%,not_reached
JG04,1.83,PG03,1.83,1.33,RM_type_B,Permanent,Male,1991,Y,1,1,0,level_4,2.89,2014,3.0,3,3,2,0,2,1,0,55.349999999999994,65.77,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.33,PG03,1.33,0.25,RM_type_B,Permanent,Male,1991,Y,1,1,0,level_4,3.0,2014,2.0,2,3,2,0,5,0,1,13.0,13.0,0.0,achiev_< 50%,achiev_< 50%,reached
JG05,2.42,PG05,2.42,1.5,RM_type_A,Permanent,Female,1971,Y,3,2,1,level_4,0.0,\N,24.0,24,10,9,0,6,2,1,111.89999999999999,112.1,3.0,achiev_50%-100%,achiev_100%-150%,reached
JG05,2.75,PG06,0.0,0.5,RM_type_A,Permanent,Female,1969,N,0,0,0,level_4,0.0,2011,25.0,25,11,10,1,3,0,0,70.09,72.39,0.0,achiev_50%-100%,achiev_< 50%,reached
JG05,6.58,PG06,5.0,3.5,RM_type_A,Permanent,Female,1971,Y,2,0,2,level_1,0.0,\N,29.0,29,12,6,0,3,0,0,83.81333333333333,91.7,1.0,achiev_50%-100%,achiev_50%-100%,reached
JG05,8.0,PG06,5.5,0.5,RM_type_A,Permanent,Male,1970,Y,2,0,2,level_4,2.7,1996,17.0,22,10,6,8,4,0,0,60.906666666666666,64.79,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0.0,2008,6.0,6,3,3,0,15,0,0,70.00999999999999,77.06,0.0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.42,PG03,1.42,1.5,RM_type_B,Permanent,Male,1983,Y,2,1,1,level_4,3.03,2008,6.0,6,4,5,0,1,0,0,68.88666666666667,70.26,0.0,achiev_50%-100%,achiev_50%-100%,not_reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_3,3.03,2006,6.0,6,4,3,2,3,4,0,57.42666666666667,59.81,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_3,2.92,2008,6.0,6,5,3,0,3,3,0,45.44,40.17,0.0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.75,PG03,1.75,2.5,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_4,3.44,2010,6.0,6,4,4,0,5,0,1,83.30333333333334,93.59,2.0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.42,PG03,1.42,0.0,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_4,2.8,2010,6.0,6,4,3,2,3,0,0,57.48333333333334,59.24,0.0,achiev_< 50%,achiev_50%-100%,not_reached
JG04,2.67,PG03,2.67,1.5,RM_type_B,Permanent,Male,1986,N,0,0,0,,,,6.0,6,4,2,0,2,0,0,99.03666666666668,110.09,3.0,achiev_100%-150%,achiev_50%-100%,reached
JG04,2.33,PG03,2.33,1.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,2.8,2009,6.0,6,3,3,4,2,0,1,58.21,66.8,0.0,achiev_100%-150%,achiev_< 50%,reached
JG04,2.67,PG03,2.67,1.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,level_3,3.23,2011,6.0,6,4,3,0,2,0,1,71.88666666666667,74.36,0.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,1.0,RM_type_A,Permanent,Male,1983,Y,1,0,1,level_4,2.85,2005,6.0,6,5,3,2,0,0,0,67.86000000000001,68.4,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1986,Y,1,0,1,level_4,3.03,2008,5.0,5,3,3,0,2,3,0,58.096666666666664,61.6,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.33,PG03,1.33,0.0,RM_type_A,Permanent,Male,1985,Y,0,0,0,level_4,0.0,2010,5.0,5,4,5,0,0,0,0,72.42,72.28,0.0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.5,PG03,1.5,2.33,RM_type_A,Permanent,Male,1990,N,0,0,0,level_3,3.21,2011,5.0,5,3,2,0,5,2,0,56.04333333333333,50.46,0.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,2.0,RM_type_A,Permanent,Male,1984,N,0,0,0,level_3,2.95,2008,5.0,5,2,3,0,0,0,0,78.96333333333335,58.59,2.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1986,Y,2,1,1,level_4,2.99,2011,5.0,5,3,4,0,6,0,0,72.82666666666667,93.84,1.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1984,Y,1,0,1,level_4,3.1,2008,5.0,5,3,3,0,4,0,0,85.87,109.56,1.0,achiev_100%-150%,achiev_> 1.5,not_reached
JG04,1.67,PG03,1.67,1.08,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_1,7.28,2007,4.0,4,4,3,0,0,1,0,48.28666666666667,47.68,0.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.5,PG03,1.5,1.5,RM_type_A,Permanent,Male,1988,Y,2,0,2,,,,4.0,4,3,3,0,6,6,0,71.72333333333334,74.92,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.33,RM_type_A,Permanent,Male,1987,Y,1,0,1,,,,4.0,4,3,3,1,6,1,0,72.17,87.05,1.0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Male,1986,N,0,0,0,,,,4.0,4,2,2,0,3,0,0,77.65666666666667,77.87,0.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1992,Y,1,0,1,,,,4.0,4,3,2,0,4,9,0,76.13333333333334,89.38,1.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.5,PG03,1.5,1.5,RM_type_B,Permanent,Male,1991,Y,1,1,0,,,,4.0,4,2,2,0,5,0,0,56.36666666666667,64.52,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1989,Y,1,1,0,level_4,0.0,2012,4.0,4,3,3,2,3,0,1,80.55666666666667,86.92,1.0,achiev_100%-150%,achiev_< 50%,not_reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_4,3.41,2012,3.0,3,2,3,0,4,0,0,73.47333333333334,73.44,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,1.5,RM_type_B,Permanent,Male,1987,Y,1,0,1,level_4,3.19,2012,3.0,3,2,2,0,5,0,1,96.96999999999998,97.85,3.0,achiev_50%-100%,achiev_100%-150%,reached
JG04,1.58,PG03,1.58,1.5,RM_type_A,Permanent,Female,1985,Y,2,0,2,level_4,3.35,2008,3.0,3,3,3,0,1,0,1,44.6,55.81,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.42,PG03,1.42,0.0,RM_type_B,Permanent,Male,1988,Y,1,1,0,level_4,3.0,2014,3.0,3,1,2,0,10,0,0,22.293333333333333,40.04,0.0,achiev_< 50%,achiev_< 50%,reached
JG04,0.5,PG03,0.5,2.33,RM_type_B,Permanent,Male,1991,N,0,0,0,level_4,3.41,2013,2.0,2,1,2,0,0,0,0,65.89,76.76,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,1.5,RM_type_A,Permanent,Male,1991,N,0,0,0,level_4,0.0,2014,3.0,3,3,3,0,0,0,0,39.11,65.22,0.0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.5,PG03,1.5,1.92,RM_type_B,Permanent,Male,1989,Y,1,1,0,level_4,0.0,2013,2.0,2,1,2,0,1,1,0,20.0,20.0,0.0,,,
JG04,2.0,PG03,2.0,0.92,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0.0,2009,6.0,6,2,3,1,2,0,0,85.76333333333334,82.31,1.0,achiev_50%-100%,achiev_< 50%,reached
JG04,2.08,PG04,0.0,2.5,RM_type_A,Permanent,Male,1988,Y,1,0,1,level_4,3.34,2011,5.0,5,2,2,4,7,0,0,76.76333333333334,77.01,0.0,achiev_> 1.5,achiev_< 50%,reached
JG05,6.58,PG06,5.33,3.17,RM_type_C,Permanent,Female,1970,Y,1,0,1,level_1,0.0,1989,28.0,28,10,9,6,2,1,0,26.89,40.73,0.0,achiev_< 50%,achiev_< 50%,reached
JG05,6.0,PG06,4.0,0.5,RM_type_A,Permanent,Female,1970,Y,2,1,1,level_3,3.02,1992,26.0,26,7,10,2,5,0,1,16.6,20.1,0.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,1.5,RM_type_B,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,3,2,0,9,6,1,111.95666666666666,110.63,3.0,achiev_100%-150%,achiev_> 1.5,reached
JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,Y,0,0,0,level_4,3.22,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,2,1,1,level_4,0.0,2010,7.0,7,5,4,1,5,0,0,57.71666666666667,67.51,0.0,achiev_> 1.5,achiev_< 50%,not reached
JG04,2.58,PG03,2.58,2.17,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,7.0,7,4,5,8,5,0,0,101.74333333333334,120.02,2.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,4,4,6,4,0,0,50.79,48.42,1.0,achiev_< 50%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Male,1988,Y,1,1,0,,,,5.0,5,3,3,0,10,1,1,75.7,80.87,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,4.0,4,2,2,0,7,0,0,114.69333333333333,117.57,3.0,achiev_> 1.5,achiev_> 1.5,not reached
JG04,1.83,PG03,1.83,0.75,RM_type_C,Permanent,Male,1988,Y,0,0,0,level_4,3.12,2013,6.0,6,5,4,5,7,0,0,70.61666666666666,57.28,1.0,achiev_< 50%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,4.0,4,3,2,0,6,4,0,102.77666666666669,106.56,3.0,achiev_50%-100%,achiev_> 1.5,reached
JG03,0.83,PG01,0.83,0.83,RM_type_B,Contract,Male,1990,N,0,0,0,level_4,3.1,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.75,PG03,1.75,0.0,RM_type_B,Permanent,Male,1986,Y,0,0,0,,,,7.0,7,7,8,7,0,0,0,87.81666666666666,97.88,1.0,achiev_> 1.5,achiev_> 1.5,not reached
JG04,2.67,PG03,2.67,0.42,RM_type_C,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,4,6,10,3,0,1,91.61000000000001,90.62,3.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1986,Y,2,2,0,,,,5.0,5,3,2,2,3,0,1,84.78333333333333,84.09,2.0,achiev_100%-150%,achiev_> 1.5,not reached
JG04,1.17,PG03,1.17,0.5,RM_type_A,Permanent,Male,1988,Y,0,0,0,level_3,0.0,0,2.0,2,2,3,0,0,0,0,,,,,,
JG04,1.75,PG03,1.75,2.33,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,6.0,6,2,4,2,10,0,0,89.52999999999999,86.78,2.0,achiev_< 50%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,2,1,1,,,,6.0,6,4,5,0,3,0,0,106.17333333333333,104.42,3.0,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,,,,4.0,4,4,3,0,5,1,0,57.85666666666666,61.3,0.0,achiev_100%-150%,achiev_< 50%,not reached
JG03,0.83,PG01,0.83,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,3.27,0,,1,2,1,0,0,0,0,,,,,,
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6.0,6,4,4,10,0,0,0,76.10666666666667,104.36,1.0,achiev_50%-100%,achiev_100%-150%,reached
JG04,1.75,PG03,1.75,1.5,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,4.0,4,2,4,0,7,0,0,100.35333333333335,103.68,3.0,achiev_100%-150%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1992,N,0,0,0,,,,4.0,4,3,5,0,3,0,0,78.70333333333333,83.28,1.0,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.92,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6.0,6,3,3,1,5,1,0,88.95333333333333,105.51,2.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.58,PG03,1.58,0.67,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,5,2,0,9,0,0,38.01,33.54,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1992,N,0,0,0,level_4,0.0,0,3.0,3,2,3,4,4,2,1,35.34333333333333,46.8,0.0,achiev_< 50%,achiev_> 1.5,reached
JG03,0.75,PG01,0.75,0.67,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,0.0,0,,1,2,1,0,0,0,0,,,,,,
JG03,0.0,PG01,0.0,0.0,RM_type_B,Contract,Male,1993,N,0,0,0,level_4,0.0,0,,1,1,1,0,0,0,0,,,,,,
JG05,0.25,PG05,0.25,0.42,RM_type_A,Permanent,Male,1975,Y,2,1,1,level_4,3.28,2000,18.0,18,12,11,13,5,0,1,54.23666666666666,75.38,0.0,achiev_> 1.5,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Female,1987,Y,2,1,1,,,,4.0,4,2,2,0,5,0,1,13.0,13.0,0.0,Tidak diberikan target,Tidak diberikan target,not reached
JG04,1.17,PG03,1.17,1.5,RM_type_A,Permanent,Male,1989,Y,2,1,1,level_3,0.0,0,2.0,2,1,2,0,0,1,0,,,,,,
JG04,0.75,PG03,0.75,0.92,RM_type_B,Permanent,Male,1989,Y,1,0,1,level_3,0.0,0,1.0,1,2,4,0,0,0,0,,,,,,
JG04,1.83,PG03,1.83,3.42,RM_type_B,Permanent,Male,1990,Y,1,1,0,,,,7.0,7,3,3,3,0,1,0,46.973333333333336,43.55,0.0,achiev_100%-150%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1986,Y,2,2,0,,,,4.0,4,2,5,4,0,1,0,112.78333333333332,115.45,3.0,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,4.0,4,3,4,1,9,0,1,77.46333333333332,88.79,1.0,achiev_50%-100%,achiev_50%-100%,not reached
JG05,5.0,PG06,3.0,3.17,RM_type_C,Permanent,Female,1971,Y,2,1,1,level_3,3.14,1994,22.0,22,9,7,4,4,0,1,25.494999999999997,37.8,0.0,achiev_< 50%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0.92,RM_type_A,Permanent,Male,1980,Y,0,0,0,,,,6.0,6,4,7,3,1,0,0,89.67,78.39,2.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Male,1985,Y,1,1,0,,,,5.0,5,4,6,18,5,0,1,83.06333333333333,107.13,2.0,achiev_< 50%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Female,1992,N,0,0,0,level_3,0.0,0,3.0,3,2,3,1,7,3,1,63.300000000000004,63.62,0.0,achiev_> 1.5,achiev_< 50%,not reached
JG03,0.75,PG01,0.75,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_3,0.0,0,,1,1,1,0,0,0,0,,,,,,
JG05,6.58,PG06,5.33,0.75,RM_type_A,Permanent,Female,1966,Y,4,1,3,level_3,3.08,1997,29.0,29,6,10,0,14,0,0,,,,,,
JG05,6.0,PG06,4.0,0.5,RM_type_A,Permanent,Female,1974,Y,2,0,2,level_1,48.61,1993,25.0,25,5,8,2,0,3,0,74.43333333333334,110.98,2.0,achiev_100%-150%,achiev_50%-100%,reached
JG04,2.67,PG03,2.67,1.5,RM_type_C,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,3,5,13,9,0,0,81.7,103.75,2.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.58,PG03,1.58,2.83,RM_type_A,Permanent,Male,1986,Y,0,0,0,,,,6.0,6,3,4,0,16,0,0,96.07666666666667,94.94,3.0,achiev_100%-150%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,4.0,RM_type_B,Permanent,Male,1988,Y,0,0,0,,,,4.0,4,1,2,0,3,0,0,69.04333333333334,95.54,2.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0.0,0,3.0,3,4,3,1,8,2,0,89.14666666666666,79.35,1.0,achiev_< 50%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1990,Y,1,0,1,,,,4.0,4,3,4,1,3,0,1,107.78666666666668,112.09,3.0,achiev_< 50%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.42,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0.0,0,3.0,3,4,3,0,4,1,0,69.76333333333334,83.1,0.0,achiev_50%-100%,achiev_< 50%,reached
JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,N,0,0,0,level_3,0.0,0,,1,1,1,0,0,0,0,,,,,,
JG05,7.25,PG06,4.5,0.17,RM_type_A,Permanent,Male,1968,Y,3,3,0,level_4,2.93,1995,22.0,22,12,8,7,5,0,0,43.336666666666666,43.72,0.0,achiev_50%-100%,achiev_< 50%,not reached
JG04,2.83,PG03,2.83,0.17,RM_type_C,Permanent,Male,1987,N,0,0,0,,,,7.0,7,4,4,10,5,2,0,117.37666666666667,119.56,3.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.17,PG03,1.17,0.17,RM_type_B,Permanent,Male,1985,Y,2,0,2,,,,6.0,6,7,3,2,3,0,0,97.57,103.11,3.0,achiev_100%-150%,achiev_100%-150%,not reached
JG04,1.58,PG03,1.58,0.17,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,4,2,0,4,0,0,50.120000000000005,71.17,0.0,achiev_> 1.5,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Female,1989,Y,1,1,0,,,,5.0,5,3,2,1,0,4,1,62.18333333333334,65.12,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,0.17,RM_type_A,Permanent,Female,1993,Y,0,0,0,level_4,0.0,0,3.0,3,4,4,0,5,8,0,118.62666666666667,121.3,3.0,achiev_100%-150%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Male,1990,Y,1,1,0,level_4,0.0,0,2.0,2,2,2,1,8,0,0,25.403333333333336,49.77,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.17,PG03,1.17,0.17,RM_type_A,Permanent,Female,1987,N,0,0,0,level_4,0.0,0,2.0,2,2,3,1,0,0,0,,,,,,
JG03,0.83,PG01,0.83,0.17,RM_type_B,Contract,Male,1989,N,0,0,0,level_4,3.02,0,,1,2,1,0,0,0,0,,,,,,
JG03,0.58,PG01,0.58,0.17,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,0.0,0,,1,2,1,0,0,0,0,,,,,,
JG04,1.58,PG03,1.58,0.17,RM_type_A,Permanent,Male,1990,Y,1,1,0,,,,4.0,4,4,3,2,8,3,0,83.89666666666666,81.39,1.0,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0.25,RM_type_B,Permanent,Male,1989,N,0,0,0,level_4,0.0,0,3.0,3,3,2,0,3,0,1,106.33,105.73,3.0,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.17,PG03,1.17,0.92,RM_type_A,Permanent,Male,1989,Y,1,0,1,level_4,0.0,0,2.0,2,2,3,0,5,0,0,51.27333333333333,127.74,1.0,achiev_> 1.5,achiev_> 1.5,reached
JG05,4.5,PG06,2.5,3.17,RM_type_C,Permanent,Female,1982,Y,2,1,1,level_4,0.0,2004,13.0,13,8,10,0,1,1,0,25.880000000000003,38.71,0.0,achiev_> 1.5,Tidak diberikan target,not reached
JG04,1.67,PG03,1.67,0.5,RM_type_A,Permanent,Female,1984,Y,0,0,0,level_3,3.27,2006,7.0,7,5,5,3,1,0,0,46.54666666666666,48.62,0.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,2.08,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,5.0,5,3,2,1,6,0,0,77.02666666666667,49.45,1.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.75,RM_type_B,Permanent,Male,1989,Y,1,0,1,,,,4.0,4,2,4,0,1,0,0,96.10000000000001,100.37,3.0,achiev_50%-100%,achiev_100%-150%,reached
JG04,1.83,PG03,1.83,0.25,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,5.0,5,7,5,2,6,0,0,57.69333333333333,53.0,0.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,0.25,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,5.0,5,3,3,5,10,0,0,89.96333333333332,108.39,2.0,achiev_> 1.5,achiev_50%-100%,reached
JG05,8.0,PG06,5.33,0.5,RM_type_A,Permanent,Male,1968,Y,3,2,1,level_4,0.0,\N,23.0,23,10,8,13,4,0,1,23.173333333333336,23.23,0.0,achiev_50%-100%,Tidak diberikan target,not reached
JG04,1.75,PG03,1.75,0.83,RM_type_A,Permanent,Male,1985,Y,1,1,0,,,,5.0,5,3,3,1,8,0,0,108.68666666666667,113.42,3.0,achiev_> 1.5,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,1.92,RM_type_B,Permanent,Male,1986,Y,0,0,0,,,,5.0,5,3,2,7,3,0,1,26.236666666666668,25.25,0.0,Tidak diberikan target,Tidak diberikan target,reached
